t,Va,Vb,Vc,Ia,Ib,Ic,Fault
0.0266,200.3499997,117.4308594,-317.7808591,6292.340925,3632.324674,-9924.665599,0
0.0267,192.3585701,126.7692227,-319.1277929,6043.379824,3924.628024,-9968.007848,0
0.0268,184.1773059,135.9824801,-320.159786,5788.454635,4213.058239,-10001.51287,0
0.0269,175.8142809,145.0615392,-320.8758201,5527.816936,4497.330674,-10025.14761,0
0.027,167.2777484,153.9974401,-321.2751885,5261.723947,4777.164787,-10038.88873,0
0.0271,158.576133,162.7813642,-321.3574971,4990.438269,5052.284415,-10042.72268,0
0.0272,149.7180221,171.4046426,-321.1226647,4714.227629,5322.418048,-10036.64568,0
0.0273,140.7121575,179.8587654,-320.5709229,4433.364611,5587.299097,-10020.66371,0
0.0274,131.5674271,188.1353893,-319.7028164,4148.126396,5846.666157,-9994.792553,0
0.0275,122.2928555,196.2263462,-318.5192017,3858.794477,6100.263263,-9959.05774,0
0.0276,112.8975956,204.1236515,-317.0212471,3565.654392,6347.840145,-9913.494537,0
0.0277,103.3909194,211.8195114,-315.2104308,3268.995433,6589.152476,-9858.147909,0
0.0278,93.78220888,219.3063309,-313.0885398,2969.110368,6823.962109,-9793.072477,0
0.0279,84.08094663,226.5767216,-310.6576683,2666.295146,7052.037315,-9718.332461,0
0.028,74.29670663,233.6235085,-307.9202151,2360.84861,7273.153012,-9634.001622,0
0.0281,64.43914476,240.4397371,-304.8788819,2053.072199,7487.090984,-9540.163183,0
0.0282,54.51798923,247.0186808,-301.53667,1743.269651,7693.640102,-9436.909753,0
0.0283,44.54303103,253.3538468,-297.8968778,1431.746703,7892.596526,-9324.343229,0
0.0284,34.52411424,259.4389832,-293.9630974,1118.810791,8083.76391,-9202.574701,0
0.0285,24.47112631,265.2680846,-289.7392109,804.7707451,8266.953595,-9071.72434,0
0.0286,14.39398834,270.8353984,-285.2293868,489.9364849,8441.984795,-8931.92128,0
0.0287,4.302645243,276.1354304,-280.4380757,174.6187137,8608.684775,-8783.303489,0
0.0288,-5.792944045,281.1629501,-275.370006,-140.8713878,8766.889023,-8626.017635,0
0.0289,-15.8828164,285.9129959,-270.0301795,-456.2224691,8916.441409,-8460.21894,0
0.029,-25.95701432,290.38088,-264.4238657,-771.1233168,9057.194345,-8286.071028,0
0.0291,-36.00559581,294.5621934,-258.5565975,-1085.263162,9189.008923,-8103.745761,0
0.0292,-46.01864412,298.4528093,-252.4341652,-1398.331985,9311.755058,-7913.423073,0
0.0293,-55.98627758,302.0488884,-246.0626109,-1710.020827,9425.311616,-7715.290789,0
0.0294,-65.89865935,305.3468817,-239.4482224,-2020.022088,9529.566529,-7509.544441,0
0.0295,-75.74600709,308.3435345,-232.5975275,-2328.029833,9624.41691,-7296.387077,0
0.0296,-85.51860267,311.0358895,-225.5172868,-2633.740097,9709.769154,-7076.029057,0
0.0297,-95.20680171,313.4212896,-218.2144879,-2936.851181,9785.539028,-6848.687847,0
0.0298,-104.8010431,315.4973807,-210.6963376,-3237.063949,9851.651756,-6614.587807,0
0.0299,-114.2918586,317.262114,-202.9702554,-3534.082129,9908.042094,-6373.959965,0
0.03,-123.6698817,318.7137479,-195.0438661,-3827.612599,9954.65439,-6127.041791,0
